include,fy,agency,administration,suboffice,program,summary,program_appr,mitigation,power,transportation_sector,industry,agriculture_sector,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment,fy21_omni,ira,iija,fy22_omni,fy23_omni,approps,one_time,tax_credit
Y,2021,DOE,Loan Programs Office,Title 17 Innovative Technology Loan Guarantee Program,Title 17 Innovative Technology Loan Guarantee Program,"Accelerates the deployment of innovative projects to help launch new clean energy markets, reduce greenhouse gas emissions, and drive American economic growth by providing flexible, custom financing and access to debt capital that helps to meet the specific needs of individual borrowers.",32000,32000,32000,0,0,0,0,0,10667,10667,10667,0,0,0,0,0,0,0,32000,32000,0,0,0,0,32000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Capture,Focues on RDD&D on post-combustion and pre-combustion CO2 capture.,86300,86300,43150,0,43150,0,0,0,0,0,0,0,86300,0,0,0,43150,43150,0,86300,0,0,0,0,86300,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Storage,Focuses on the development of technologies for the safe and secure geologic storage of captured carbon dioxide (CO2).,79000,79000,39500,0,39500,0,0,0,0,0,0,0,79000,0,0,0,26333.33334,26333.33334,26333.33334,79000,0,0,0,0,79000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Advanced Energy and Hydrogen Systems,"Improves overall system efficiency, reducing capital and operating costs, hydrogen production and use, and enabling affordable carbon capture.",108100,92100,30696.93,30696.93,30696.93,0,0,0,30696.93,0,0,30696.93,30696.93,0,0,0,30696.93,30696.93,30696.93,92100,0,0,0,0,92100,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Crosscutting Research,"Supports innovative early stage RDD&D for improving reliability, availability, efficiency, and environmental performance of power technologies.",32900,32900,16450,0,16450,0,0,0,10965.57,10965.57,0,0,10965.57,0,0,0,10966.66667,10966.66667,10966.66667,32900,0,0,0,0,32900,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Dioxide Removal,"Funds research in direct air capture, bioenergy with carbon capture and storage, and mineralization, terrestrial carbon removal and sequestration and coastal blue carbon.",40000,40000,0,0,0,20000,0,20000,0,0,0,0,20000,0,20000,0,13333.33333,13333.33333,13333.33333,40000,0,0,0,0,40000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Carbon Utilization,"Focuses on novel approaches to recycle carbon oxide (CO) emissions, principally CO2, into value-added products such as chemicals, fuels, and building products.",23000,23000,11500,0,11500,0,0,0,0,0,0,0,23000,0,0,0,7666.666667,7666.666667,7666.666667,23000,0,0,0,0,23000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Mineral Sustainability,"Supports domestic supply chain networks required for the economically, environmentally, and geopolitically sustainable production of critical minerals (CM).",53000,23000,5750,5750,5750,0,5750,0,0,0,0,0,0,0,0,23000,7666.666667,7666.666667,7666.666667,23000,0,0,0,0,23000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,Natural Gas Technologies,Natural Gas Technologies,Addresses the critical environmental and safety issues associated with the production and transmission of domestic natural gas.,57000,20000,0,0,20000,0,0,0,10000,0,0,0,0,10000,0,0,20000,0,0,20000,0,0,0,0,20000,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Supercritical Transformational Electric Power (STEP),"Focuses on RDD&D in higher efficiency, lower cost technologies that use supercritical CO2 to power cycles.",14500,14500,14500,0,0,0,0,0,14500,0,0,0,0,0,0,0,4833.333333,4833.333333,4833.333333,14500,0,0,0,0,14500,0,0
Y,2021,DOE,Fossil Energy and Carbon Management,"Carbon Capture, Utilization and Storage and Power Systems",Transformational Coal Pilots,Funds two large-scale pilots that focus on transformational coal technologies with increased efficiency from thermodynamic improvements in energy conversion and heat transfer.,10000,10000,10000,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,10000,0,10000,0,0,0,0,10000,0,0
Y,2021,DOE,Science,Basic Energy Science,Basic Energy Sciences,"Supports fundamental research to understand, predict, and ultimately control matter and energy at the electronic, atomic, and molecular levels. BES research provides the foundations to develop new clean energy technologies, to mitigate the climate and environmental impacts of energy generation/use, and to support DOE missions in energy, environment, and national security.",2245000,2245000,561250,561250,561250,0,561250,0,748258.5,748258.5,748258.5,0,0,0,0,0,2245000,0,0,2245000,0,0,0,0,2245000,0,0
Y,2021,DOE,Science,Biological and Environmental Research,Biological and Environmental Research,"Supports transformative science and scientific user facilities to achieve a predictive understanding of complex biological, Earth, and environmental systems for clean energy and climate innovation.",753000,753000,125525.1,125525.1,125525.1,125525.1,125525.1,125525.1,0,188250,0,188250,0,0,188250,188250,753000,0,0,753000,0,0,0,0,753000,0,0
Y,2021,DOE,Science,Fusion Energy Sciences,Fusion Energy Sciences,"Builds the scientific foundation needed to develop a fusion energy source which is carbon-free, inherently safe, does not produce radioactive waste, and is virtually inexhaustible.",672000,672000,672000,0,0,0,0,0,0,672000,0,0,0,0,0,0,672000,0,0,672000,0,0,0,0,672000,0,0
Y,2021,DOE,Electricity,Transmission Reliability and Resilience,Transmission Reliability and Resilience,Focuses on developing transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry.,48220,48220,48220,0,0,0,0,0,0,48220,0,0,0,0,0,0,48220,0,0,48220,0,0,0,0,48220,0,0
Y,2021,DOE,Electricity,Grid Controls and Communications,Resilient Distribution Systems,"Focuses on developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution.",50000,50000,50000,0,0,0,0,0,0,25000,25000,0,0,0,0,0,50000,0,0,50000,0,0,0,0,50000,0,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Energy Storage,"Leads a national effort to ensure a more flexible, resilient, and equitable North American power grid through increased deployment of bi-directional electrical energy storage.",80000,80000,80000,0,0,0,0,0,0,80000,0,0,0,0,0,0,80000,0,0,80000,0,0,0,0,80000,0,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Transformer Resilience and Advanced Components,"Develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation.",7500,7500,7500,0,0,0,0,0,0,7500,0,0,0,0,0,0,7500,0,0,7500,0,0,0,0,7500,0,0
Y,2021,DOE,Electricity,Transmission Permitting and Technical Assistance Program,Transmission Permitting and Technical Assistance Program,"Supports activities with Federal, State, and industry partners to modernize the grid and ensure equitable and adequate transmission capacity across the United States to achieve 100% carbon-free electricity by 2035.",7000,7000,7000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,7000,0,0
Y,2021,DOE,Nuclear Energy,"Reactor Concepts Research, Development and Demonstration (RD&D)",Reactor Concepts RD&D,"Supports conducting RD&D on existing and advanced reactor designs and technologies to enable industry to address technical and regulatory challenges associated with maintaining the existing fleet of nuclear reactors, promote the development of a robust pipeline of advanced reactor designs and technologies and associated supply chains, and progress these advanced reactor designs and technologies towards demonstration when deemed appropriate.",208000,208000,208000,0,0,0,0,0,0,208000,0,0,0,0,0,0,104000,104000,0,208000,0,0,0,0,208000,0,0
Y,2021,DOE,Nuclear Energy,Advanced Reactor Demonstration Program,Advanced Reactor Demonstration Program,Focuses Departmental and non-federal resources on supporting the development of advanced reactors that have the potential for near and mid-term demonstration and commercial deployment and addressing challenges hindering their deployment.,250000,250000,250000,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,250000,0,250000,0,0,0,0,250000,0,0
Y,2021,DOE,Nuclear Energy,Fuel Cycle Research and Development,Fuel Cycle R&D,"Conducts applied research and development (R&D) on advanced fuel cycle technologies that have the potential to accelerate progress on managing and disposing of the nation’s spent fuel and high-level waste, improve resource utilization and energy generation, reduce waste generation, and limit proliferation risk.",309300,309300,309300,0,0,0,0,0,0,309300,0,0,0,0,0,0,309300,0,0,309300,0,0,0,0,309300,0,0
Y,2021,DOE,Nuclear Energy,Integrated University Program,Integrated University Program,"Engages U.S. colleges and universities to conduct research and development (R&D), enhance infrastructure, and support student education, thereby helping to sustain a world-class nuclear energy and workforce capability.",5000,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,5000,0,0,5000,0,0,0,0,5000,0,0
Y,2021,DOE,Nuclear Energy,Nuclear Energy Enabling Technologies,Nuclear Energy Enabling Technologies,Conducts research and development (R&D) and makes strategic investments in research capabilities to develop innovative and crosscutting nuclear energy technologies to resolve nuclear technology development issues.,122869,122869,122869,0,0,0,0,0,0,122869,0,0,0,0,0,0,122869,0,0,122869,0,0,0,0,122869,0,0
Y,2021,DOE,Nuclear Energy,Versatile Test Reactor Project,Versatile Test Reactor Project,Supports reviving and expanding the nuclear sector in the U.S. by supporting the modernization of the U.S. infrastructure for early stage research and development (R&D).,45000,45000,45000,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,45000,0,45000,0,0,0,0,45000,0,0
Y,2021,DOE,Nuclear Energy,Supercritical Transformational Electric Power Research and Development (STEP R&D),Supercritical Transformational Electric Power Research and Development,Supports development and scale-up advanced Supercritical Carbon Dioxide (sCO2) Brayton cycle energy conversion technology to facilitate commercial development.,5000,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,5000,0,0,5000,0,0,0,0,5000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Vehicle Technologies,"Plays a leading role in decarbonizing the transportation sector and address the climate crisis by driving innovation and deploying clean transportation technologies, all while maintaining transportation service quality and safety.",400000,400000,0,400000,0,0,0,0,0,0,400000,0,0,0,0,0,133320,133320,133320,400000,0,0,0,0,400000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Bioenergy Technologies,"Conducts research, development, and demonstration activities (RD&D) to enable a diverse supply of renewable waste streams and biomass as well as cost-effective conversion technologies nationwide emphasizing later stage demonstration to accelerate deployment of biofuels and bioproducts.",255000,255000,0,127500,127500,0,0,0,0,0,0,255000,0,0,0,0,84991.5,84991.5,84991.5,255000,0,0,0,0,255000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Sustainable Transportation,Hydrogen and Fuel Cell Technologies,"Drives the research, development, demonstration, and deployment (RDD&D) of innovative technologies to facilitate widespread adoption of clean hydrogen and fuel cell technologies across sectors.",150000,150000,49999.66667,49999.66667,49999.66667,0,0,0,0,0,0,150000,0,0,0,0,49995,49995,49995,150000,0,0,0,0,150000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Solar Energy Technologies,"Accelerates the development and deployment of solar technologies while supporting the reliability, resilience, and security of the U.S. electric grid and solar supply chain, as well as the Administration’s goal to reach a carbon pollution-free electricity sector by 2035, supported by good-paying, green jobs.",280000,280000,280000,0,0,0,0,0,0,280000,0,0,0,0,0,0,93324,93324,93324,280000,0,0,0,0,280000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Wind Energy Technologies,"Executes a comprehensive RDD&D plan to accelerate offshore wind and land-based wind energy innovation, cost reduction, and deployment, including on federal lands and at federal facilities.",110000,110000,110000,0,0,0,0,0,0,110000,0,0,0,0,0,0,36663,36663,36663,110000,0,0,0,0,110000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Water Power Technologies,Administers a broad portfolio of research activities to strengthen the body of technical knowledge and support industry efforts to develop and deploy new hydropower and marine energy technologies at all scales.,150000,150000,150000,0,0,0,0,0,0,150000,0,0,0,0,0,0,75000,75000,0,150000,0,0,0,0,150000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Renewable Energy,Geothermal Technologies,Drives increased deployment of geothermal energy to enhance exploration and production.,106000,106000,35329.8,0,35329.8,0,35329.8,0,0,53000,0,0,0,0,0,53000,106000,0,0,106000,0,0,0,0,106000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Advanced Manufacturing,Plays a leading role to decarbonize the industrial sector and address the climate crisis by driving the innovation that can lead to a more resilient and competitive domestic manufacturing sector that also provides economic opportunities across diverse communities.,396000,396000,0,0,396000,0,0,0,79200,79200,79200,79200,0,0,0,79200,131986.8,131986.8,131986.8,396000,0,0,0,0,396000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Building Technologies,Reduces the energy intensity and related carbon emissions resulting from homes and commercial buildings through the application of cost-effective technologies and practices.,290000,290000,0,0,0,0,290000,0,145000,0,145000,0,0,0,0,0,96657,96657,96657,290000,0,0,0,0,290000,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy,Energy Efficiency,Weatherization and Intergovernmental Programs,"Partners with state and local organizations to significantly accelerate the deployment of clean energy (e.g., energy efficiency and renewable energy) technologies and practices through place-based strategies involving a wide range of government, community, and business stakeholders.",377500,377500,0,0,0,0,377500,0,377500,0,0,0,0,0,0,0,0,0,377500,377500,0,0,0,0,377500,0,0
Y,2021,DOE,Federal Energy Management Program,Federal Energy Management Program,Federal Energy Management Program,"Helps Federal agencies meet sustainability goals by providing technical assistance, financial assistance, training, and other resources.",53635,53635,26817.5,0,0,0,26817.5,0,17878.33333,17878.33333,17878.33333,0,0,0,0,0,0,0,53635,53635,0,0,0,0,53635,0,0
Y,2021,DOE,Loan Programs Office,Advanced Technology Vehicles Manufacturing Loan Program,Advanced Technology Vehicles Manufacturing Loan Program,"Provides long-term, low-interest rate debt capital to companies looking to manufacture fuel-efficient components and advanced technology of light-duty passenger vehicles.",5000,5000,0,5000,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,5000,5000,0,0,0,0,5000,0,0
Y,2021,DOE,Advanced Research Projects Agency - Energy,Advanced Research Projects Agency - Energy,ARPA-E Projects,Identifies and supports revolutionary energy inventions and transformational energy technology advances.,392000,392000,196000,196000,0,0,0,0,98000,98000,98000,98000,0,0,0,0,196000,196000,0,392000,0,0,0,0,392000,0,0
Y,2021,DOE,Advanced Research Projects Agency - Energy,Advanced Research Projects Agency - Energy,Program Direction,Identifies and supports revolutionary energy inventions and transformational energy technology advances.,35000,35000,17500,17500,0,0,0,0,8750,8750,8750,8750,0,0,0,0,17500,17500,0,35000,0,0,0,0,35000,0,0
Y,2021,DOE,Office of Indian Energy,Indian Energy Policy and Programs,Indian Energy Policy and Programs,"Serves all Federally recognized Indian tribes, which include Alaska Native Regional Corporations and Village Corporations, as well as tribal and intertribal organizations, and tribal energy development organizations.",22000,22000,22000,0,0,0,0,0,7332.6,7332.6,7332.6,0,0,0,0,0,0,0,22000,22000,0,0,0,0,22000,0,0
Y,2021,DOE,Office of Technology Transitions,Technology Transition Activities,Technology Transition Activities,Expands the commercial and public impact of the research investments of the DOE.,8375,8375,8375,0,0,0,0,0,1675,1675,1675,1675,1675,0,0,0,8375,0,0,8375,0,0,0,0,8375,0,0
Y,2021,DOE,Loan Programs Office,Tribal Energy Loan Guarantee Program,Tribal Energy Loan Guarantee Program,Provides support to commercial lenders to provide debt capital to Tribal companies and organizations installing energy projects.,2000,2000,2000,0,0,0,0,0,666.6666667,666.6666667,666.6666667,0,0,0,0,0,0,0,2000,2000,0,0,0,0,2000,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Administrative Expenses,Administrative Expenses,Administrative expenses associated with the execution of the Advanced Industrial Facilities Deployment Program.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,"Cybersecurity, Energy Security, and Emergency Response",Advanced Energy Security Program,Advanced Energy Security Program,Increase the functional preservation of electric grid operations or natural gas and oil operations in the face of threats and hazards.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Office of Clean Energy Demonstrations,Advanced Reactor Demonstration Projects,Advanced Reactor Demonstration Program,Supports two major demonstrations of advanced nuclear reactors for commercial power generation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Advanced Scientific Computing Research,ASCR Research,Reduce the lease‐ financed amounts on ASCR high performance computing systems during this period of historically high inflation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Loan Programs Office,Advanced Technology Vehicles Manufacturing Loan Program,Advanced Technology Vehicles Manufacturing Loan Program,"Fund personnel and mission support costs to originate, administer, and monitor loans under this program.",5000,5000,0,5000,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,5000,5000,0,0,0,0,5000,0,0
Y,2021,DOE,Loan Programs Office,Advanced Technology Vehicles Manufacturing Loan Program,Advanced Technology Vehicles Manufacturing Loan Program,"Issues loans for a range of advanced technology vehicles and their components, including newly authorized uses from the IIJA, which to date had not been funded. Expanded uses include medium- and heavy-duty vehicles, locomotives, maritime vessels including offshore wind vessels, aviation, and hyperloop. The IRA removed the statutory limitation on direct loan authority and provided $3 billion of additional appropriations, including $2.975 billion in credit subsidy.",5000,5000,0,5000,0,0,0,0,2500,0,2500,0,0,0,0,0,0,0,5000,5000,0,0,0,0,5000,0,0
Y,2021,DOE,Nuclear Energy,Availability of High- Assay Low-Enriched Uranium,Availability of High- Assay Low-Enriched Uranium,"Support the High-Assay Low-Enriched Uranium (HALEU) Availability Program activities directed in section 2001 of the Energy Act of 2020, including supporting the establishment of a diverse, market-based supply chain for HALEU.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Basic Energy Research,"Advanced Light Source Upgrade (ALS‐U), LBNL",Funding for construction and equipment procurement projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Basic Energy Research,BES Research,Funding for construction and equipment procurement projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Basic Energy Research,"Cryomodule Repair & Maintenance Facility (CRMF), SLAC",Funding for construction and equipment procurement projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Basic Energy Research,"Linac Coherent Light Source‐II‐High Energy (LCLS‐II‐HE), SLAC",Funding for construction and equipment procurement projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Science,Basic Energy Research,"Second Target Station (STS), ORNL",Funding for construction and equipment procurement projects.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
