include,fy,agency,administration,suboffice,program,summary,program_appr,mitigation,power,transportation_sector,industry,agriculture_sector,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment,energy_water,transportation_fs,agriculture_fs,interior_environment,iija,ira,approps,one_time
Y,2021,DOE,Advanced Research Projects Agency - Energy,Advanced Research Projects Agency - Energy,ARPA-E Projects,ARPA-E identifies and supports revolutionary energy inventions and transformational energy technology advances.,392000,392000,196000,196000,0,0,0,0,98000,98000,98000,98000,0,0,0,0,196000,196000,0,392000,0,0,0,0,0,392000,0
Y,2021,DOE,Advanced Research Projects Agency - Energy,Advanced Research Projects Agency - Energy,Program Direction,ARPA-E identifies and supports revolutionary energy inventions and transformational energy technology advances,35000,35000,17500,17500,0,0,0,0,8750,8750,8750,8750,0,0,0,0,17500,17500,0,35000,0,0,0,0,0,35000,0
Y,2021,DOE,Electricity,Grid Controls and Communications,Resilient Distribution Systems,"The Resilient Distribution Systems subprogram focuses developing transformative technologies, tools, and techniques to enable industry to modernize electricity distribution.",50000,50000,50000,0,0,0,0,0,0,25000,25000,0,0,0,0,0,50000,0,0,50000,0,0,0,0,0,50000,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Energy Storage,"The Energy Storage program leads a national effort to ensure a more flexible, resilient, and equitable North American power grid through increased deployment of bi-directional electrical energy storage.",80000,80000,80000,0,0,0,0,0,0,80000,0,0,0,0,0,0,80000,0,0,80000,0,0,0,0,0,80000,0
Y,2021,DOE,Electricity,"Grid Hardware, Components, and Systems",Transformer Resilience and Advanced Components,"The Transformer Resilience and Advanced Components program develops innovations for grid hardware carrying, controlling, and converting electricity for the purpose of achieving electric grid decarbonization goals, ensuring reliability and resilience, and modernizing the electric deilivery system to withstand the effects of climate change and support a changing mix of electricity generation.",7500,3750,3750,0,0,0,0,0,0,3750,0,0,0,0,0,0,3750,0,0,3750,0,0,0,0,0,3750,0
Y,2021,DOE,Electricity,Transmission Permitting and Technical Assistance Program,Transmission Permitting and Technical Assistance Program,"The Transmission Permitting and Technical Assistance Program supports activities with Federal, State, and industry partners to modernize the grid and ensure equitable and adequate transmission capacity across the United States to achieve 100% carbon-free electricity by 2035.",7000,7000,7000,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,7000,7000,0,0,0,0,0,7000,0
Y,2021,DOE,Electricity,Transmission Reliability and Resilience,Transmission Reliability and Resilience,The Transmission Reliability and Resilience subprogram focuses developing transmission system tools and data analytics to inform planning and operational decisions that maintain and improve system reliability while accelerating the integration of renewable energy for the electricity industry. ,48220,48220,48220,0,0,0,0,0,0,48220,0,0,0,0,0,0,48220,0,0,48220,0,0,0,0,0,48220,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Energy Efficiency,Advanced Manufacturing,The Advanced Manufacturing Office (AMO) plays a leading role to decarbonize the industrial sector and address the climate crisis by driving the innovation that can lead to a more resilient and competitive domestic manufacturing sector that also provides economic opportunities across diverse communities. ,396000,396000,15500,15500,365000,0,0,0,133069.8,16111.8,74522.8,74522.8,0,0,0,97772.8,172601.5,132322,91076.5,396000,0,0,0,0,0,396000,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Energy Efficiency,Advanced Materials and Manufacturing Technologies,The Advanced Materials and Manufacturing Technologies Office (AMMTO) supports innovation for advanced materials and manufacturing technologies that drive competitive domestic manufacturing for products needed to decarbonize the economy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,2021,DOE,Energy Efficiency and Renewable Energy (EERE),Energy Efficiency,Building Technologies,The Building Technologies Office’s (BTO) goal is to reduce the energy intensity and related carbon emissions resulting from homes and commercial buildings through the application of cost-effective technologies and practices.,290000,290000,0,0,0,0,290000,0,192500,0,97500,0,0,0,0,0,92500,117500,80000,290000,0,0,0,0,0,290000,0
